,hgnc_id,Group,FUSIL
1,HGNC:24086,2.0,-
2,HGNC:7,3.0,-
9,HGNC:17,3.0,-
15,HGNC:19679,2.0,SV
20,HGNC:33842,2.0,VN
22,HGNC:21022,2.0,CL
25,HGNC:14235,1.0,DL
26,HGNC:17366,2.0,VP
29,HGNC:23,1.0,DL
30,HGNC:29,2.0,DL
32,HGNC:33,2.0,DL
33,HGNC:34,2.0,VP
35,HGNC:36,2.0,VP
36,HGNC:37,2.0,VP
37,HGNC:38,2.0,VP
38,HGNC:39,2.0,VP
41,HGNC:14638,2.0,VP
45,HGNC:47,2.0,VP
48,HGNC:50,2.0,VP
50,HGNC:42,2.0,SV
52,HGNC:53,2.0,VP
55,HGNC:56,2.0,VP
62,HGNC:61,2.0,-
64,HGNC:67,2.0,VP
66,HGNC:69,2.0,CL
71,HGNC:74,2.0,VP
79,HGNC:21396,2.0,VP
81,HGNC:23759,1.0,VP
83,HGNC:16407,2.0,-
87,HGNC:24538,2.0,VP
89,HGNC:26971,2.0,-
90,HGNC:13921,2.0,SV
92,HGNC:28756,2.0,VP
93,HGNC:24278,2.0,-
97,HGNC:24011,2.0,VP
98,HGNC:29859,2.0,-
99,HGNC:17265,2.0,SV
100,HGNC:1364,2.0,-
111,HGNC:28975,2.0,VP
114,HGNC:23842,2.0,VP
121,HGNC:21597,2.0,-
124,HGNC:89,1.0,VP
126,HGNC:91,1.0,VP
128,HGNC:319,2.0,DL
129,HGNC:16467,2.0,VP
134,HGNC:15453,2.0,DL
136,HGNC:23338,2.0,-
142,HGNC:2707,2.0,DL
144,HGNC:18356,2.0,VP
151,HGNC:23692,1.0,DL
154,HGNC:19288,2.0,VP
157,HGNC:33904,2.0,VP
160,HGNC:19748,2.0,VP
161,HGNC:33159,2.0,-
170,HGNC:121,2.0,-
171,HGNC:25621,2.0,-
184,HGNC:26101,2.0,VP
188,HGNC:3571,1.0,-
189,HGNC:16526,2.0,VP
191,HGNC:18049,2.0,VP
192,HGNC:32017,1.0,VP
207,HGNC:145,2.0,VP
211,HGNC:162,2.0,VP
218,HGNC:166,3.0,SV
225,HGNC:14671,2.0,DL
226,HGNC:24025,2.0,CL
227,HGNC:14672,2.0,CL
231,HGNC:24022,2.0,VP
232,HGNC:171,2.0,DL
233,HGNC:172,1.0,DL
234,HGNC:18123,2.0,-
235,HGNC:173,2.0,SV
236,HGNC:174,2.0,SV
238,HGNC:177,2.0,-
239,HGNC:24104,2.0,-
244,HGNC:30713,2.0,SV
245,HGNC:30714,2.0,VP
246,HGNC:31853,2.0,VP
249,HGNC:215,2.0,VP
252,HGNC:189,1.0,VN
255,HGNC:195,2.0,SV
261,HGNC:202,1.0,DL
265,HGNC:15479,2.0,VP
270,HGNC:219,2.0,DL
271,HGNC:220,2.0,-
276,HGNC:13202,2.0,SV
279,HGNC:1366,2.0,-
280,HGNC:14899,2.0,VP
281,HGNC:16305,2.0,VP
282,HGNC:17108,2.0,VP
284,HGNC:17110,2.0,VP
285,HGNC:17111,2.0,-
289,HGNC:14633,2.0,VP
290,HGNC:19706,2.0,VP
291,HGNC:27912,2.0,VP
292,HGNC:16486,2.0,VP
294,HGNC:225,1.0,DL
296,HGNC:227,2.0,VP
300,HGNC:19038,2.0,VP
301,HGNC:19039,2.0,VP
302,HGNC:21738,2.0,-
303,HGNC:232,1.0,VP
304,HGNC:233,2.0,VN
305,HGNC:234,2.0,SV
311,HGNC:240,2.0,SV
314,HGNC:242,2.0,SV
318,HGNC:21212,2.0,-
319,HGNC:13838,2.0,-
322,HGNC:943,2.0,VP
323,HGNC:944,1.0,-
324,HGNC:945,2.0,SV
325,HGNC:19893,2.0,VP
333,HGNC:18989,2.0,-
334,HGNC:19011,2.0,-
335,HGNC:19030,2.0,VP
340,HGNC:19010,2.0,VN
342,HGNC:19241,2.0,-
345,HGNC:20974,2.0,VP
347,HGNC:17416,2.0,VP
352,HGNC:253,1.0,VP
357,HGNC:28606,2.0,VP
359,HGNC:24040,1.0,VP
364,HGNC:28898,2.0,VP
367,HGNC:23803,2.0,SV
369,HGNC:262,2.0,VP
371,HGNC:264,2.0,VN
373,HGNC:25250,2.0,VP
375,HGNC:21303,1.0,-
376,HGNC:30925,2.0,VP
377,HGNC:21304,1.0,VP
381,HGNC:281,2.0,VP
388,HGNC:291,2.0,CL
390,HGNC:292,2.0,DL
391,HGNC:21214,2.0,-
392,HGNC:303,1.0,DL
401,HGNC:6473,2.0,VP
406,HGNC:20910,2.0,VN
410,HGNC:16922,2.0,SV
424,HGNC:5177,2.0,-
427,HGNC:321,2.0,SV
430,HGNC:3262,2.0,SV
432,HGNC:18421,2.0,VP
434,HGNC:324,1.0,SV
436,HGNC:326,2.0,SV
437,HGNC:20885,2.0,VP
447,HGNC:338,2.0,-
452,HGNC:343,1.0,CL
453,HGNC:344,1.0,VP
457,HGNC:347,1.0,SV
460,HGNC:346,2.0,VP
461,HGNC:1189,1.0,VP
462,HGNC:349,4.0,VP
464,HGNC:13203,2.0,VP
466,HGNC:352,1.0,VP
467,HGNC:28904,1.0,VP
473,HGNC:10648,2.0,-
477,HGNC:360,2.0,VP
478,HGNC:30801,2.0,VP
496,HGNC:377,2.0,-
499,HGNC:379,2.0,SV
500,HGNC:368,2.0,SV
501,HGNC:369,2.0,VP
506,HGNC:1170,2.0,VN
513,HGNC:382,2.0,VP
520,HGNC:388,1.0,VP
522,HGNC:389,1.0,SV
529,HGNC:16710,2.0,VP
530,HGNC:395,1.0,DL
537,HGNC:409,2.0,DL
538,HGNC:407,2.0,VP
539,HGNC:3978,2.0,VP
541,HGNC:404,3.0,VP
542,HGNC:405,2.0,VP
544,HGNC:410,2.0,-
551,HGNC:412,1.0,-
552,HGNC:28114,2.0,VP
553,HGNC:9722,1.0,DL
554,HGNC:414,3.0,CL
555,HGNC:417,4.0,SV
556,HGNC:418,3.0,VP
557,HGNC:18294,2.0,CL
560,HGNC:23159,2.0,CL
563,HGNC:23157,2.0,DL
564,HGNC:23161,2.0,DL
565,HGNC:15672,2.0,DL
567,HGNC:31088,2.0,DL
568,HGNC:32456,2.0,CL
570,HGNC:30881,2.0,-
571,HGNC:28287,2.0,CL
575,HGNC:17911,2.0,DL
580,HGNC:28243,2.0,VP
582,HGNC:25189,2.0,VP
584,HGNC:428,2.0,VP
589,HGNC:433,2.0,VP
594,HGNC:20917,2.0,VP
595,HGNC:20565,1.0,VP
596,HGNC:17574,1.0,SV
610,HGNC:28577,2.0,-
617,HGNC:463,1.0,SV
620,HGNC:20824,2.0,VP
622,HGNC:24075,2.0,VP
630,HGNC:468,2.0,SV
631,HGNC:469,2.0,SV
632,HGNC:470,2.0,VP
642,HGNC:28041,2.0,VP
643,HGNC:19988,2.0,CL
645,HGNC:19990,2.0,CL
650,HGNC:24540,1.0,CL
651,HGNC:24531,2.0,CL
655,HGNC:30534,2.0,-
657,HGNC:485,2.0,SV
662,HGNC:16039,1.0,VP
676,HGNC:20763,2.0,DL
678,HGNC:24714,2.0,VP
679,HGNC:22215,2.0,VP
682,HGNC:29101,2.0,-
686,HGNC:15819,3.0,VP
688,HGNC:17280,2.0,VN
689,HGNC:18588,2.0,VP
690,HGNC:20096,1.0,VP
691,HGNC:20265,1.0,SV
692,HGNC:21316,2.0,DL
697,HGNC:27880,2.0,-
707,HGNC:25310,2.0,VP
719,HGNC:26323,2.0,-
729,HGNC:24786,2.0,-
734,HGNC:25691,2.0,VN
743,HGNC:20961,1.0,-
744,HGNC:24600,2.0,VP
745,HGNC:29422,2.0,DL
746,HGNC:26795,2.0,VP
747,HGNC:26724,2.0,DL
748,HGNC:29642,2.0,-
756,HGNC:25240,2.0,SV
757,HGNC:31677,2.0,VP
758,HGNC:29329,2.0,-
774,HGNC:541,2.0,VP
780,HGNC:23334,2.0,-
781,HGNC:547,2.0,VN
785,HGNC:548,2.0,VP
786,HGNC:80,1.0,VP
791,HGNC:28808,2.0,-
793,HGNC:555,2.0,DL
801,HGNC:562,2.0,-
802,HGNC:563,1.0,DL
809,HGNC:570,2.0,-
810,HGNC:2013,1.0,VP
811,HGNC:571,2.0,VP
813,HGNC:573,2.0,-
814,HGNC:574,2.0,VP
826,HGNC:582,2.0,SV
833,HGNC:586,1.0,VP
837,HGNC:29509,1.0,DL
840,HGNC:17581,2.0,VN
842,HGNC:16665,2.0,-
843,HGNC:339,1.0,SV
845,HGNC:598,3.0,-
846,HGNC:13238,3.0,-
866,HGNC:611,2.0,VP
869,HGNC:615,1.0,VP
872,HGNC:619,2.0,-
878,HGNC:13916,3.0,VP
879,HGNC:28727,1.0,-
880,HGNC:24009,2.0,-
881,HGNC:620,3.0,SV
884,HGNC:18242,2.0,VP
886,HGNC:15984,2.0,VP
887,HGNC:633,3.0,VP
889,HGNC:636,1.0,VP
892,HGNC:639,2.0,VP
898,HGNC:19940,2.0,-
904,HGNC:16925,2.0,VP
905,HGNC:16924,2.0,VN
906,HGNC:24097,2.0,VP
909,HGNC:651,2.0,VP
912,HGNC:654,1.0,VP
913,HGNC:655,3.0,CL
923,HGNC:17160,2.0,-
933,HGNC:677,2.0,VP
936,HGNC:15783,2.0,-
940,HGNC:18239,2.0,VP
941,HGNC:21035,2.0,-
942,HGNC:23724,2.0,VP
945,HGNC:30320,2.0,VP
947,HGNC:25361,2.0,VP
948,HGNC:28951,2.0,VP
952,HGNC:30207,2.0,DL
953,HGNC:27414,2.0,VP
956,HGNC:23085,1.0,SV
962,HGNC:29096,2.0,VP
967,HGNC:681,2.0,SV
970,HGNC:684,2.0,VP
971,HGNC:13209,2.0,VP
972,HGNC:685,2.0,-
973,HGNC:15607,2.0,DL
975,HGNC:14103,2.0,VN
977,HGNC:14580,2.0,VN
978,HGNC:14193,2.0,SV
979,HGNC:15590,2.0,VP
982,HGNC:17090,2.0,DL
986,HGNC:30322,2.0,VN
990,HGNC:25968,2.0,VP
994,HGNC:18040,2.0,-
995,HGNC:18037,2.0,DL
996,HGNC:3031,2.0,DL
999,HGNC:9885,2.0,SV
1000,HGNC:15550,2.0,SV
1004,HGNC:690,2.0,DL
1007,HGNC:17146,1.0,-
1011,HGNC:656,2.0,VP
1014,HGNC:31111,2.0,VP
1016,HGNC:697,3.0,VP
1021,HGNC:25564,1.0,SV
1022,HGNC:23592,2.0,VP
1023,HGNC:22042,2.0,VP
1030,HGNC:25945,2.0,DL
1035,HGNC:23045,2.0,DL
1039,HGNC:26168,2.0,-
1052,HGNC:25788,2.0,DL
1053,HGNC:19846,2.0,VP
1061,HGNC:704,2.0,VP
1062,HGNC:705,1.0,DL
1063,HGNC:706,1.0,CL
1064,HGNC:707,1.0,CL
1066,HGNC:23366,2.0,VP
1067,HGNC:28782,2.0,VN
1070,HGNC:710,2.0,-
1071,HGNC:711,2.0,VP
1072,HGNC:712,1.0,VP
1073,HGNC:28633,2.0,VP
1074,HGNC:25225,2.0,-
1077,HGNC:31407,2.0,VP
1082,HGNC:24102,2.0,VP
1086,HGNC:25239,2.0,VN
1088,HGNC:723,2.0,VP
1090,HGNC:726,2.0,VN
1093,HGNC:29561,2.0,-
1094,HGNC:728,2.0,VP
1104,HGNC:16012,2.0,DL
1110,HGNC:17183,2.0,-
1112,HGNC:17185,2.0,VP
1117,HGNC:19767,2.0,VN
1120,HGNC:19770,2.0,-
1122,HGNC:24103,2.0,DL
1130,HGNC:20995,2.0,DL
1134,HGNC:19088,2.0,DL
1135,HGNC:744,1.0,DL
1139,HGNC:21263,2.0,VP
1140,HGNC:17537,2.0,VP
1147,HGNC:756,2.0,VP
1153,HGNC:19048,2.0,VP
1154,HGNC:14872,1.0,-
1156,HGNC:13825,2.0,VP
1159,HGNC:25021,2.0,-
1163,HGNC:18318,1.0,DL
1164,HGNC:23805,2.0,-
1169,HGNC:29230,2.0,VP
1170,HGNC:25567,2.0,DL
1179,HGNC:785,1.0,VP
1180,HGNC:786,3.0,-
1183,HGNC:2349,1.0,SV
1184,HGNC:792,2.0,-
1189,HGNC:20962,2.0,DL
1193,HGNC:20789,2.0,VN
1197,HGNC:21899,2.0,-
1200,HGNC:29091,2.0,DL
1202,HGNC:21498,2.0,DL
1203,HGNC:25464,2.0,-
1207,HGNC:24047,2.0,CL
1208,HGNC:24526,2.0,-
1211,HGNC:3033,3.0,VP
1218,HGNC:801,3.0,DL
1219,HGNC:14073,2.0,VP
1224,HGNC:811,2.0,DL
1225,HGNC:812,3.0,CL
1227,HGNC:814,1.0,SV
1229,HGNC:816,2.0,-
1232,HGNC:29103,2.0,VP
1235,HGNC:823,3.0,DL
1236,HGNC:830,4.0,CL
1239,HGNC:838,1.0,CL
1240,HGNC:871,3.0,VP
1242,HGNC:842,3.0,SV
1246,HGNC:14247,3.0,DL
1249,HGNC:30889,3.0,VP
1250,HGNC:840,3.0,DL
1253,HGNC:850,1.0,DL
1257,HGNC:853,1.0,VP
1258,HGNC:854,1.0,CL
1259,HGNC:856,1.0,CL
1261,HGNC:13527,1.0,CL
1262,HGNC:857,1.0,CL
1267,HGNC:862,1.0,VP
1269,HGNC:18303,2.0,CL
1270,HGNC:865,2.0,DL
1272,HGNC:866,1.0,DL
1275,HGNC:13724,2.0,DL
1283,HGNC:3706,2.0,VP
1284,HGNC:13534,2.0,SV
1287,HGNC:13540,1.0,VP
1292,HGNC:13552,2.0,DL
1297,HGNC:30213,1.0,VP
1300,HGNC:31789,2.0,VP
1303,HGNC:18802,2.0,DL
1305,HGNC:882,2.0,CL
1307,HGNC:33499,2.0,CL
1308,HGNC:885,2.0,VP
1315,HGNC:7106,2.0,VP
1320,HGNC:25416,1.0,DL
1323,HGNC:10549,1.0,DL
1324,HGNC:890,2.0,VP
1327,HGNC:11393,1.0,CL
1328,HGNC:24114,1.0,DL
1331,HGNC:14262,1.0,DL
1335,HGNC:894,2.0,DL
1336,HGNC:30898,2.0,VP
1340,HGNC:23252,2.0,-
1341,HGNC:23251,2.0,-
1344,HGNC:904,2.0,DL
1351,HGNC:914,3.0,SV
1353,HGNC:28596,2.0,DL
1354,HGNC:916,2.0,VP
1355,HGNC:917,2.0,SV
1358,HGNC:17978,2.0,DL
1384,HGNC:15685,1.0,DL
1386,HGNC:28636,2.0,DL
1388,HGNC:932,3.0,VP
1393,HGNC:935,2.0,SV
1394,HGNC:14078,2.0,VP
1398,HGNC:939,1.0,DL
1407,HGNC:947,2.0,SV
1409,HGNC:26203,2.0,VP
1412,HGNC:30251,1.0,VP
1417,HGNC:950,1.0,CL
1422,HGNC:956,2.0,SV
1428,HGNC:960,2.0,VP
1430,HGNC:962,2.0,VP
1432,HGNC:17868,2.0,VP
1436,HGNC:964,2.0,-
1439,HGNC:969,2.0,SV
1440,HGNC:970,2.0,VP
1441,HGNC:18758,2.0,SV
1443,HGNC:26291,2.0,DL
1445,HGNC:14422,2.0,VP
1452,HGNC:974,2.0,VP
1458,HGNC:978,1.0,DL
1461,HGNC:986,2.0,-
1462,HGNC:987,2.0,DL
1474,HGNC:998,2.0,VP
1477,HGNC:1004,2.0,DL
1478,HGNC:1005,2.0,-
1484,HGNC:13222,2.0,DL
1485,HGNC:16863,1.0,CL
1486,HGNC:27413,2.0,-
1492,HGNC:1020,2.0,CL
1494,HGNC:32389,2.0,-
1495,HGNC:1029,2.0,-
1498,HGNC:13652,2.0,CL
1500,HGNC:1034,2.0,DL
1502,HGNC:24163,2.0,VP
1504,HGNC:23040,2.0,DL
1508,HGNC:23514,2.0,-
1510,HGNC:17107,2.0,SV
1515,HGNC:1036,3.0,-
1524,HGNC:1044,3.0,-
1525,HGNC:35126,2.0,VP
1530,HGNC:1046,1.0,VP
1532,HGNC:1047,3.0,-
1535,HGNC:1049,2.0,VP
1537,HGNC:28095,2.0,SV
1544,HGNC:1053,2.0,VP
1561,HGNC:20984,1.0,DL
1567,HGNC:1063,3.0,VP
1571,HGNC:1066,2.0,SV
1576,HGNC:1071,2.0,DL
1582,HGNC:20869,1.0,DL
1588,HGNC:23505,2.0,CL
1593,HGNC:1082,2.0,DL
1594,HGNC:1083,2.0,VP
1599,HGNC:17173,2.0,VP
1600,HGNC:25114,1.0,DL
1603,HGNC:1087,1.0,VP
1604,HGNC:24263,2.0,-
1612,HGNC:25939,2.0,DL
1614,HGNC:37247,2.0,-
1615,HGNC:1093,1.0,-
1617,HGNC:1095,2.0,VP
1619,HGNC:16203,2.0,VP
1620,HGNC:16204,2.0,SV
1621,HGNC:16108,2.0,VP
1623,HGNC:16178,2.0,VN
1638,HGNC:24185,2.0,-
1640,HGNC:1103,1.0,DL
1643,HGNC:13575,2.0,CL
1645,HGNC:19874,1.0,DL
1646,HGNC:25818,2.0,DL
1647,HGNC:1105,2.0,VP
1650,HGNC:1109,1.0,-
1656,HGNC:20473,2.0,VP
1660,HGNC:17262,2.0,SV
1664,HGNC:14256,2.0,SV
1668,HGNC:12760,2.0,VP
1670,HGNC:15832,2.0,-
1687,HGNC:21228,2.0,VP
1690,HGNC:26340,2.0,-
1691,HGNC:33758,2.0,VP
1698,HGNC:1130,3.0,-
1699,HGNC:1131,3.0,VP
1706,HGNC:1137,2.0,VP
1710,HGNC:1142,2.0,-
1714,HGNC:1144,2.0,VP
1719,HGNC:16405,2.0,CL
1721,HGNC:1152,1.0,VP
1723,HGNC:18380,1.0,VP
1724,HGNC:18808,1.0,VP
1729,HGNC:15494,2.0,-
1731,HGNC:29876,3.0,DL
1744,HGNC:25565,2.0,DL
1748,HGNC:26730,2.0,SV
1755,HGNC:27915,2.0,VP
1762,HGNC:1241,3.0,VP
1763,HGNC:1242,3.0,VN
1765,HGNC:1245,3.0,VP
1771,HGNC:14325,2.0,VN
1774,HGNC:14344,2.0,VN
1776,HGNC:14342,2.0,VN
1782,HGNC:21265,2.0,VP
1785,HGNC:1266,2.0,-
1788,HGNC:33627,2.0,VP
1789,HGNC:33628,2.0,VP
1803,HGNC:26861,2.0,-
1807,HGNC:34352,2.0,SV
1810,HGNC:28191,2.0,-
1812,HGNC:1318,3.0,VP
1813,HGNC:1319,2.0,VP
1814,HGNC:25024,2.0,VP
1816,HGNC:25320,2.0,VP
1818,HGNC:26434,2.0,-
1826,HGNC:44666,2.0,VP
1829,HGNC:1324,2.0,-
1836,HGNC:28386,2.0,-
1837,HGNC:26342,2.0,VP
1844,HGNC:1331,1.0,VP
1850,HGNC:24738,2.0,-
1852,HGNC:33768,2.0,-
1855,HGNC:35121,2.0,VP
1863,HGNC:20960,2.0,VP
1866,HGNC:21233,2.0,-
1875,HGNC:1346,3.0,VP
1879,HGNC:22421,2.0,-
1882,HGNC:1352,3.0,VP
1883,HGNC:1353,3.0,VP
1884,HGNC:1354,1.0,VP
1888,HGNC:32233,2.0,VP
1895,HGNC:1358,3.0,VP
1896,HGNC:19919,2.0,VN
1898,HGNC:23570,2.0,VP
1899,HGNC:23677,2.0,VP
1902,HGNC:28337,2.0,VP
1916,HGNC:26563,2.0,VP
1920,HGNC:25707,2.0,VP
1923,HGNC:1163,2.0,VP
1930,HGNC:30204,2.0,-
1933,HGNC:28801,1.0,-
1939,HGNC:37213,2.0,VP
1943,HGNC:1184,2.0,VP
1947,HGNC:25719,2.0,-
1950,HGNC:26967,2.0,VP
1951,HGNC:29521,1.0,SV
1952,HGNC:28726,2.0,VN
1953,HGNC:34452,2.0,-
1962,HGNC:20270,2.0,VN
1972,HGNC:26649,2.0,-
1979,HGNC:28687,2.0,VP
1982,HGNC:26346,2.0,VP
1985,HGNC:28737,2.0,DL
1993,HGNC:33800,2.0,VP
2009,HGNC:34073,2.0,-
2015,HGNC:34354,2.0,DL
2017,HGNC:40041,2.0,VP
2020,HGNC:15873,2.0,-
2024,HGNC:16137,2.0,SV
2030,HGNC:1305,2.0,VP
2031,HGNC:16459,2.0,VN
2034,HGNC:18589,2.0,-
2036,HGNC:27012,2.0,VP
2041,HGNC:1375,2.0,SV
2045,HGNC:1381,2.0,VN
2050,HGNC:1371,1.0,-
2051,HGNC:14914,2.0,-
2052,HGNC:1372,2.0,VN
2055,HGNC:20290,2.0,VP
2060,HGNC:1384,2.0,VP
2062,HGNC:1386,2.0,VP
2063,HGNC:13714,2.0,-
2068,HGNC:29314,1.0,SV
2070,HGNC:1389,2.0,VP
2074,HGNC:1393,2.0,-
2077,HGNC:1396,2.0,VP
2078,HGNC:1397,2.0,DL
2081,HGNC:15460,2.0,VN
2088,HGNC:1406,2.0,-
2099,HGNC:5951,1.0,VP
2104,HGNC:16018,1.0,VP
2109,HGNC:1438,2.0,VP
2111,HGNC:29912,2.0,VP
2112,HGNC:1440,2.0,VN
2115,HGNC:23494,2.0,VP
2116,HGNC:23493,2.0,VP
2120,HGNC:33391,2.0,-
2133,HGNC:1459,1.0,-
2134,HGNC:19341,2.0,VP
2137,HGNC:1461,1.0,SV
2145,HGNC:26276,2.0,VP
2151,HGNC:29307,2.0,SV
2153,HGNC:18807,1.0,DL
2155,HGNC:30689,2.0,VP
2156,HGNC:19721,2.0,SV
2159,HGNC:20039,1.0,SV
2167,HGNC:1485,2.0,-
2170,HGNC:1478,2.0,-
2171,HGNC:13249,2.0,VP
2178,HGNC:21259,2.0,-
2183,HGNC:1490,2.0,SV
2185,HGNC:1491,3.0,CL
2188,HGNC:16391,2.0,VN
2196,HGNC:14435,2.0,VP
2198,HGNC:23393,1.0,DL
2199,HGNC:21581,2.0,-
2200,HGNC:27089,2.0,VP
2207,HGNC:17040,1.0,SV
2210,HGNC:20879,2.0,-
2215,HGNC:1505,2.0,VP
2223,HGNC:19004,2.0,-
2225,HGNC:1512,2.0,VP
2226,HGNC:1513,3.0,DL
2227,HGNC:1514,2.0,DL
2228,HGNC:15878,2.0,-
2229,HGNC:1515,2.0,VP
2233,HGNC:26002,2.0,DL
2235,HGNC:25062,2.0,VP
2238,HGNC:20819,2.0,VP
2244,HGNC:19231,2.0,-
2250,HGNC:9400,2.0,VN
2256,HGNC:1541,2.0,SV
2259,HGNC:4268,2.0,-
2264,HGNC:20146,1.0,VN
2275,HGNC:1551,1.0,DL
2276,HGNC:1552,2.0,DL
2278,HGNC:1554,2.0,DL
2280,HGNC:1556,1.0,VP
2294,HGNC:18782,2.0,DL
2296,HGNC:25367,1.0,DL
2298,HGNC:33488,2.0,VP
2304,HGNC:30370,2.0,-
2306,HGNC:28688,2.0,VN
2309,HGNC:21098,2.0,VP
2311,HGNC:26103,2.0,VP
2313,HGNC:26552,2.0,VP
2321,HGNC:18111,2.0,VN
2324,HGNC:27564,2.0,-
2325,HGNC:25005,2.0,CL
2330,HGNC:29937,2.0,SV
2333,HGNC:24487,1.0,VN
2340,HGNC:28203,2.0,VP
