"","hgnc_id","fusil"
"1","HGNC:11512","VP"
"2","HGNC:10790","CL"
"3","HGNC:6943","CL"
"4","HGNC:1040","VP"
"5","HGNC:7756","VP"
"6","HGNC:7548","CL"
"7","HGNC:7428","DL"
"8","HGNC:4706","SV"
"9","HGNC:18175","DL"
"10","HGNC:25439","VP"
"11","HGNC:3321","VP"
"12","HGNC:12032","DL"
"13","HGNC:4401","SV"
"14","HGNC:20080","VP"
"15","HGNC:20080","VP"
"16","HGNC:12613","VP"
"17","HGNC:418","VP"
"18","HGNC:11795","VP"
"19","HGNC:11714","DL"
"20","HGNC:3538","VP"
"21","HGNC:3562","VP"
"22","HGNC:24131","VP"
"23","HGNC:555","DL"
"24","HGNC:561","VP"
"25","HGNC:2303","VP"
"26","HGNC:7127","VP"
"27","HGNC:12776","VP"
"28","HGNC:11071","VP"
"29","HGNC:30884","VP"
"30","HGNC:30884","VP"
"31","HGNC:9647","VP"
"32","HGNC:2475","DL"
"33","HGNC:11603","DL"
"34","HGNC:2709","VP"
"35","HGNC:19864","VP"
"36","HGNC:10473","DL"
"37","HGNC:2418","VP"
"38","HGNC:4567","VP"
"39","HGNC:9675","VP"
"40","HGNC:6608","VP"
"41","HGNC:3629","DL"
"42","HGNC:3222","VP"
"43","HGNC:2400","VP"
"44","HGNC:4682","VP"
"45","HGNC:13974","CL"
"46","HGNC:12932","VP"
"47","HGNC:10648","SV"
"48","HGNC:10887","DL"
"49","HGNC:18260","VN"
"50","HGNC:3972","VP"
"51","HGNC:3363","VN"
"52","HGNC:173","SV"
"53","HGNC:10537","CL"
"54","HGNC:6641","VP"
"55","HGNC:6371","VP"
"56","HGNC:6107","DL"
"57","HGNC:2464","DL"
"58","HGNC:2856","VP"
"59","HGNC:33543","VP"
"60","HGNC:32322","DL"
"61","HGNC:12473","SV"
"62","HGNC:12765","SV"
"63","HGNC:12472","VP"
"64","HGNC:12434","VN"
"65","HGNC:6069","VP"
"66","HGNC:24085","CL"
"67","HGNC:9591","VN"
"68","HGNC:13278","VP"
"69","HGNC:3378","VP"
"70","HGNC:1390","DL"
"71","HGNC:5977","VP"
"72","HGNC:9957","SV"
"73","HGNC:13707","VP"
"74","HGNC:10575","VN"
