"","groups"
"ENSG00000000003",1
"ENSG00000000005",2
"ENSG00000000419",1
"ENSG00000000457",2
"ENSG00000000460",2
"ENSG00000000938",2
"ENSG00000000971",3
"ENSG00000001036",1
"ENSG00000001084",2
"ENSG00000001167",1
"ENSG00000001460",2
"ENSG00000001461",2
"ENSG00000001497",2
"ENSG00000001561",2
"ENSG00000001617",2
"ENSG00000001626",2
"ENSG00000001629",2
"ENSG00000001630",2
"ENSG00000001631",2
"ENSG00000002016",2
"ENSG00000002330",1
"ENSG00000002549",2
"ENSG00000002586",2
"ENSG00000002587",2
"ENSG00000002726",1
"ENSG00000002745",2
"ENSG00000002746",2
"ENSG00000002822",2
"ENSG00000002834",1
"ENSG00000002919",2
"ENSG00000002933",1
"ENSG00000003056",2
"ENSG00000003096",2
"ENSG00000003137",2
"ENSG00000003147",2
"ENSG00000003249",2
"ENSG00000003393",2
"ENSG00000003400",2
"ENSG00000003402",2
"ENSG00000003436",2
"ENSG00000003509",2
"ENSG00000003756",1
"ENSG00000003987",2
"ENSG00000003989",1
"ENSG00000004059",3
"ENSG00000004139",2
"ENSG00000004142",1
"ENSG00000004399",1
"ENSG00000004455",1
"ENSG00000004468",2
"ENSG00000004478",3
"ENSG00000004487",1
"ENSG00000004534",1
"ENSG00000004660",2
"ENSG00000004700",2
"ENSG00000004766",2
"ENSG00000004776",3
"ENSG00000004777",1
"ENSG00000004779",3
"ENSG00000004799",1
"ENSG00000004809",2
"ENSG00000004838",2
"ENSG00000004846",2
"ENSG00000004848",2
"ENSG00000004864",2
"ENSG00000004866",2
"ENSG00000004897",1
"ENSG00000004939",3
"ENSG00000004948",2
"ENSG00000004961",2
"ENSG00000004975",2
"ENSG00000005001",2
"ENSG00000005007",2
"ENSG00000005020",2
"ENSG00000005022",3
"ENSG00000005059",2
"ENSG00000005073",2
"ENSG00000005075",1
"ENSG00000005100",2
"ENSG00000005102",2
"ENSG00000005108",2
"ENSG00000005156",2
"ENSG00000005175",2
"ENSG00000005187",2
"ENSG00000005189",2
"ENSG00000005194",2
"ENSG00000005238",2
"ENSG00000005243",2
"ENSG00000005249",1
"ENSG00000005302",2
"ENSG00000005339",2
"ENSG00000005379",2
"ENSG00000005381",2
"ENSG00000005421",1
"ENSG00000005436",2
"ENSG00000005448",2
"ENSG00000005469",2
"ENSG00000005471",2
"ENSG00000005483",1
"ENSG00000005486",1
"ENSG00000005513",2
"ENSG00000005700",2
"ENSG00000005801",2
"ENSG00000005810",2
"ENSG00000005812",2
"ENSG00000005844",2
"ENSG00000005882",1
"ENSG00000005884",2
"ENSG00000005889",2
"ENSG00000005893",1
"ENSG00000005961",2
"ENSG00000005981",2
"ENSG00000006007",1
